2020/02/13 15:12:16.444 [I]  [2.0.1.23 169.254.134.40 169.254.84.169 169.254.86.116 169.254.95.12 192.168.1.105 169.254.214.88]
2020/02/13 15:12:16.445 [D]  get local ip succ, ips:[2.0.1.23 169.254.134.40 169.254.84.169 169.254.86.116 169.254.95.12 192.168.1.105 169.254.214.88]
2020/02/13 15:12:16.493 [D]  etcd watch key:[/logagent/2.0.1.23/log_config /logagent/169.254.134.40/log_config /logagent/169.254.84.169/log_config /logagent/169.254.86.116/log_config /logagent/169.254.95.12/log_config /logagent/192.168.1.105/log_config /logagent/169.254.214.88/log_config] timeout:5s
2020/02/13 15:12:16.496 [D]  init etcd success
2020/02/13 15:12:16.587 [D]  "/logagent/169.254.214.88/log_config" : "[{\"topic\":\"nginx_log\",\"log_path\":\"../tailf-demo/my.log\",\"service\":\"nginx_log\",\"send_rate\":100}]"

2020/02/13 15:12:16.587 [D]  init success
2020/02/13 15:12:16.587 [D]  log conf: [{"topic":"nginx_log","log_path":"../tailf-demo/my.log","service":"nginx_log","send_rate":100}]
2020/02/13 15:12:16.587 [D]  unmarshal succ conf:[{nginx_log ../tailf-demo/my.log nginx_log 100}]
2020/02/13 15:12:16.587 [D]  conf:{nginx_log ../tailf-demo/my.log nginx_log 100} -- tailobj:<nil>
2020/02/13 15:12:16.587 [I]  map [map[../tailf-demo/my.log:%!s(*main.TailObj=&{0xc000124210 0 0xc00002d3e0 {nginx_log ../tailf-demo/my.log nginx_log 100} 0xc00002f420})]]
2020/02/13 15:12:16.587 [D]  reaload from etcd success,config:[{nginx_log ../tailf-demo/my.log nginx_log 100}]
2020/02/13 15:12:56.446 [D]  limit is exited
2020/02/13 15:12:58.451 [D]  limit is exited
2020/02/13 15:13:00.457 [D]  limit is exited
2020/02/13 15:13:02.461 [D]  limit is exited
2020/02/13 15:13:04.466 [D]  limit is exited
2020/02/13 15:13:06.475 [D]  limit is exited
2020/02/13 15:13:08.479 [D]  limit is exited
2020/02/13 15:13:10.486 [D]  limit is exited
2020/02/13 15:13:12.490 [D]  limit is exited
2020/02/13 15:13:14.496 [D]  limit is exited
2020/02/13 15:13:16.501 [D]  limit is exited
2020/02/13 15:13:18.507 [D]  limit is exited
2020/02/13 15:13:20.511 [D]  limit is exited
